Gene	Type
RPL39	Prey
REE1	Prey
SAG1	Prey
SUI2	Prey
ESS1	Prey
URB2	Prey
SSC1	Prey
RPA12	Prey
TOR1	Prey
RFC2	Prey
EAF6	Prey
ACF4	Prey
CPA2	Prey
HIR3	Prey
MGM101	Prey
BAT2	Prey
MRT4	Prey
SPT23	Prey
UGP1	Prey
GFA1	Prey
ABF1	Prey
APN1	Prey
RPC25	Prey
RPS27A	Prey
EBP2	Prey
RPL17A	Prey
PRS1	Prey
YRA2	Prey
VPS1	Prey
RSC4	Prey
YKR018C	Prey
DBP7	Prey
RPC37	Prey
PET10	Prey
DYN1	Prey
RPF2	Prey
SRP40	Prey
RPL40B	Prey
ORC3	Prey
MMM1	Prey
SOF1	Prey
DPS1	Prey
SSA2	Prey
PRP19	Prey
VPS13	Prey
RPL8B	Prey
COF1	Prey
FRE6	Prey
NOC3	Prey
RLP24	Prey
IRC25	Prey
AAT2	Prey
RPL15A	Prey
RSC58	Prey
TRX1	Prey
RPS0B	Prey
IES3	Prey
SPT8	Prey
SHM2	Prey
FRS1	Prey
RPL22A	Prey
BUD20	Prey
RPL10	Prey
SRL2	Prey
ARP6	Prey
ALT1	Prey
IOC2	Prey
YLR108C	Prey
YLR118C	Prey
ACE2	Prey
DPH6	Prey
STM1	Prey
ACS2	Prey
CBF5	Prey
YLR179C	Prey
RPL37A	Prey
HCR1	Prey
PWP1	Prey
NOP56	Prey
COQ9	Prey
YLR227W-B	Prey
ECM22	Prey
IRC20	Prey
HAP1	Prey
HSP60	Prey
MCM5	Prey
SMD2	Prey
DBP9	Prey
YSH1	Prey
YLR278C	Prey
GSP1	Prey
IMH1	Prey
MRPL15	Prey
SFH1	Prey
RPL38	Prey
NUP2	Prey
SGD1	Prey
RPP0	Prey
RPL26A	Prey
DIC1	Prey
ILV5	Prey
RSC2	Prey
ARC18	Prey
VID22	Prey
STP3	Prey
CSR1	Prey
SWC7	Prey
REH1	Prey
RPS29A	Prey
STE23	Prey
BDF1	Prey
DUS3	Prey
RPL31B	Prey
VIP1	Prey
SEN1	Prey
CAR2	Prey
RPS1A	Prey
RPL6B	Prey
FPR4	Prey
SST2	Prey
PDP3	Prey
YLR460C	Prey
YAP1	Prey
SPT5	Prey
TAF11	Prey
VPS71	Prey
ORC1	Prey
POB3	Prey
RPL6A	Prey
FPR3	Prey
TUB1	Prey
SEC65	Prey
COQ5	Prey
TAF8	Prey
TUB3	Prey
RSC9	Prey
MSC1	Prey
PLB1	Prey
STB4	Prey
RSF1	Prey
ARP9	Prey
IOC4	Prey
ERB1	Prey
ABF2	Prey
RCO1	Prey
ADH3	Prey
NPL6	Prey
YKU80	Prey
ILV2	Prey
ASC1	Prey
ECM16	Prey
RRB1	Prey
ERG29	Prey
RPL13B	Prey
RPS16A	Prey
AIM36	Prey
MRPS8	Prey
ATG16	Prey
MRPS17	Prey
RPL36A	Prey
PFK2	Prey
SCJ1	Prey
UBP8	Prey
TAF7	Prey
RRP5	Prey
TAF9	Prey
PRM15	Prey
YKU70	Prey
YMR315W	Prey
ADH6	Prey
RLP7	Prey
PET8	Prey
MRP7	Prey
SIS1	Prey
PBI2	Prey
CRZ1	Prey
HHF2	Prey
HHT2	Prey
SIW14	Prey
BDP1	Prey
ARP5	Prey
NOP2	Prey
GCD10	Prey
YDJ1	Prey
RPL9B	Prey
FKH2	Prey
RPL16B	Prey
LAT1	Prey
TOP2	Prey
OCA1	Prey
MET4	Prey
YAF9	Prey
DBP2	Prey
RPC19	Prey
YNL134C	Prey
FPR1	Prey
NAM9	Prey
RPC31	Prey
RPL42A	Prey
SKO1	Prey
NOP13	Prey
IPI3	Prey
RTT106	Prey
SSB2	Prey
IES2	Prey
RAP1	Prey
ADE12	Prey
RPA49	Prey
ORC5	Prey
POL2	Prey
CAF40	Prey
RFC3	Prey
KRI1	Prey
RPD3	Prey
CIT1	Prey
RPC34	Prey
SNF12	Prey
BUD17	Prey
MVD1	Prey
NOG2	Prey
SIN3	Prey
RPB11	Prey
TOP1	Prey
HTZ1	Prey
ESC8	Prey
PRE6	Prey
RPP2A	Prey
RPS15	Prey
NOP12	Prey
PSK2	Prey
THI20	Prey
ARG1	Prey
RTG1	Prey
HST1	Prey
BRX1	Prey
MHF1	Prey
MSH2	Prey
RFC4	Prey
HMI1	Prey
YOL098C	Prey
YOL103W-B	Prey
MSN1	Prey
RPL18A	Prey
HRP1	Prey
RPL25	Prey
SPT20	Prey
GRE2	Prey
UTP23	Prey
SGT2	Prey
HSP10	Prey
AHC1	Prey
STI1	Prey
HIR2	Prey
RAT1	Prey
RPL3	Prey
YNG1	Prey
TMA46	Prey
RPS7A	Prey
TFC7	Prey
AZF1	Prey
RPO31	Prey
PFY1	Prey
EFT1	Prey
IDH2	Prey
ARP8	Prey
PNO1	Prey
RPB2	Prey
PET123	Prey
YRR1	Prey
RPS30B	Prey
SER1	Prey
TUF1	Prey
MRM1	Prey
NOC2	Prey
RET1	Prey
RPB10	Prey
AIM41	Prey
RFC1	Prey
RPB8	Prey
RPL33B	Prey
ESA1	Prey
TMA16	Prey
GCD1	Prey
YTM1	Prey
RFM1	Prey
MPD1	Prey
SNF2	Prey
RRS1	Prey
ISW2	Prey
RPL20B	Prey
PRO2	Prey
MIP1	Prey
RPA43	Prey
RPA190	Prey
ALD4	Prey
ATF1	Prey
YRF1-8	Prey
HAT1	Prey
TFC8	Prey
TAF3	Prey
SWI1	Prey
EGD1	Prey
NOP4	Prey
MUK1	Prey
RPL21B	Prey
RPS9A	Prey
MOT1	Prey
RLM1	Prey
