ORF	cluster	gene_name
YKR068C	TRAPP complex	BET3
YML077W	TRAPP complex	BET5
YDR108W	TRAPP complex	GSG1
YGR166W	TRAPP complex	KRE11
YDR407C	TRAPP complex	TRS120
YMR218C	TRAPP complex	TRS130
YBR254C	TRAPP complex	TRS20
YDR246W	TRAPP complex	TRS23
YDR472W	TRAPP complex	TRS31
YOR115C	TRAPP complex	TRS33
YJL085W	Exocyst complex	EXO70
YBR102C	Exocyst complex	EXO84
YLR166C	Exocyst complex	SEC10
YGL233W	Exocyst complex	SEC15
YER008C	Exocyst complex	SEC3
YDR166C	Exocyst complex	SEC5
YIL068C	Exocyst complex	SEC6
YPR055W	Exocyst complex	SEC8
YIL062C	Arp2/3 protein complex	ARC15
YLR370C	Arp2/3 protein complex	ARC18
YKL013C	Arp2/3 protein complex	ARC19
YNR035C	Arp2/3 protein complex	ARC35
YBR234C	Arp2/3 protein complex	ARC40
YDL029W	Arp2/3 protein complex	ARP2
YJR065C	Arp2/3 protein complex	ARP3
YER012W	20S proteasome	PRE1
YOR362C	20S proteasome	PRE10
YPR103W	20S proteasome	PRE2
YJL001W	20S proteasome	PRE3
YFR050C	20S proteasome	PRE4
YMR314W	20S proteasome	PRE5
YOL038W	20S proteasome	PRE6
YBL041W	20S proteasome	PRE7
YML092C	20S proteasome	PRE8
YGR135W	20S proteasome	PRE9
YOR157C	20S proteasome	PUP1
YGR253C	20S proteasome	PUP2
YER094C	20S proteasome	PUP3
YGL011C	20S proteasome	SCL1
YOR210W	DNA-directed RNA polymerase II complex	RPB10
YOL005C	DNA-directed RNA polymerase II complex	RPB11
YOR151C	DNA-directed RNA polymerase II complex	RPB2
YIL021W	DNA-directed RNA polymerase II complex	RPB3
YJL140W	DNA-directed RNA polymerase II complex	RPB4
YBR154C	DNA-directed RNA polymerase II complex	RPB5
YDR404C	DNA-directed RNA polymerase II complex	RPB7
YOR224C	DNA-directed RNA polymerase II complex	RPB8
YGL070C	DNA-directed RNA polymerase II complex	RPB9
YHR143W-A	DNA-directed RNA polymerase II complex	RPC10
YDL140C	DNA-directed RNA polymerase II complex	RPO21
YPR187W	DNA-directed RNA polymerase II complex	RPO26
YEL027W	H+-transporting ATPase, vacuolar	CUP5
YHR026W	H+-transporting ATPase, vacuolar	PPA1
YDL185W	H+-transporting ATPase, vacuolar	TFP1
YPL234C	H+-transporting ATPase, vacuolar	TFP3
YHR039C-A	H+-transporting ATPase, vacuolar	VMA10
YPR036W	H+-transporting ATPase, vacuolar	VMA13
YBR127C	H+-transporting ATPase, vacuolar	VMA2
YOR332W	H+-transporting ATPase, vacuolar	VMA4
YKL080W	H+-transporting ATPase, vacuolar	VMA5
YLR447C	H+-transporting ATPase, vacuolar	VMA6
YGR020C	H+-transporting ATPase, vacuolar	VMA7
YEL051W	H+-transporting ATPase, vacuolar	VMA8
YOR270C	H+-transporting ATPase, vacuolar	VPH1
YNL221C	nucleolar ribonuclease P complex	POP1
YNL282W	nucleolar ribonuclease P complex	POP3
YBR257W	nucleolar ribonuclease P complex	POP4
YAL033W	nucleolar ribonuclease P complex	POP5
YGR030C	nucleolar ribonuclease P complex	POP6
YBR167C	nucleolar ribonuclease P complex	POP7
